Disease	genes
Achromatopsia	"c(\CNGA3\"", \""CNGB3\"", \""GNAT2\"", \""PDE6C\"")"""
"Achromatopsia, autosomal recessive"	PDE6C
"Achromatopsia, autosomal recessive incomplete"	PDE6H
Acid-labile subunit deficiency	IGFALS
"Acid-labile subunit deficiency, partial"	IGFALS
"Acne inversa, familial"	NCSTN
Acquired long QT syndrome	ALG10B
"Acquired long QT syndrome, protection against, association"	ALG10B
Acral peeling skin syndrome	"c(\CSTA\"", \""TGM5\"")"""
Acrocallosal syndrome	"c(\GLI3\"", \""KIF7\"")"""
Acrocapitofemoral dysplasia	IHH
"Acrocephalopolysyndactyly, type II"	RAB23
Acrodermatitis enteropathica	SLC39A4
Acrodysostosis	"c(\PDE4D\"", \""PRKAR1A\"")"""
Acrodysostosis with hormone resistance	PRKAR1A
Acrogeria syndrome	LMNA
"Acrogeria, Gottron"	COL3A1
Acrokeratosis verruciformis	ATP2A2
Acromegaly	AIP
"Acromesomelic chondrodysplasia, Grebe type"	BMPR1B
"Acromesomelic dysplasia, Maroteaux type"	NPR2
Acromicric dysplasia	FBN1
Acroscyphodysplasia	"c(\GNAS\"", \""PDE4D\"")"""
"ACTH deficiency, isolated"	TBX19
ACTH hypersensitivity syndrome	MC2R
ACTH-independent macronodular adrenocortical hyperplasia	PDE11A
Actin myopathy	ACTA1
Action myoclonus-renal failure syndrome	SCARB2
"Acute coronary syndrome, association with"	CPB2
"Acute encephalitis with refractory, repetitive partial seizures"	SCN2A
Acute encephalopathy	SCN1A
"Acute graft versus host disease, association with"	IL7R
Acute haemorrhagic leukoencephalitis	CFI
"Acute insulin response, association with"	SEPP1
Acute liver failure	POLG
"Acute lung injury, in major trauma, association with"	MYLK
Acute lymphoblastic leukaemia	"c(\ATM\"", \""CDKN1B\"", \""HOXD4\"", \""NBN\"", \""NRAS\"", \""PAX5\"", \""TP53\"", \""TRADD\"")"""
"Acute lymphoblastic leukaemia, T-cell with severe chemosensitivity"	FANCD2
Acute myeloid leukaemia	"c(\RAF1\"", \""RUNX1\"", \""TERT\"")"""
"Acute myeloid leukaemia, association with"	JAK3
"Acute myeloid leukaemia, reduced risk, association with"	TYK2
"Acute myeloid leukaemia, relapse, increased risk"	CD33
"Acute myocardial infarction, association with"	OLR1
"Acute pyelonephritis, association with"	CXCR1
"Acute respiratory distress syndrome, association with"	"c(\PI3\"", \""SFTPB\"")"""
"Acyl-CoA dehydrogenase, long chain deficiency"	ACADL
Acyl-CoA dehydrogenation deficiency	ETFDH
"Acyl-CoA dehydrogenation deficiency, riboflavin-responsive"	ETFDH
Acyl-CoA-dehydrogenase deficiency	ACADS
ADA2 deficiency	CECR1
Adams-Oliver syndrome	"c(\DOCK6\"", \""EOGT\"", \""NOTCH1\"", \""RBPJ\"")"""
ADAMTS13 deficiency	ADAMTS13
ADAMTS13 deficiency & Upshaw-Schulman syndrome	ADAMTS13
Addison disease	ABCD1
Addison disease with autoimmune thyroiditis	AIRE
Adducted thumb-clubfoot syndrome	CHST14
Adenine phosphoribosyltransferase deficiency	APRT
Adenocarcinoma	"c(\BAP1\"", \""EGFR\"", \""TP53\"")"""
Adenoma of hypophisis	ATP2A3
Adenomatous polyposis coli	"c(\APC\"", \""AXIN2\"", \""CNTN6\"", \""CSNK1D\"", \""CTNNB1\"", \""FOCAD\"", \""HEXDC\"", \""HSPH1\"", \""KIF26B\"", \""MCM3AP\"", \""MUTYH\"", \""PXDNL\"", \""TESK2\"", \""ULK4\"")"""
"Adenomatous polyposis coli, association with"	APC
"Adenomatous polyposis coli, attenuated"	"c(\APC\"", \""MUTYH\"")"""
Adenomatous polyposis with epiretinal membrane	APC
Adenosine deaminase deficiency	ADA
Adenosine deaminase deficiency / severe combined immunodeficiency	ADA
Adenosine monophosphate deaminase deficiency	"c(\AMPD1\"", \""AMPD3\"")"""
Adenylate kinase deficiency	AK1
Adenylosuccinate lyase deficiency	ADSL
Adiponectin deficiency	ADIPOQ
Adolescent idiopathic scoliosis	"c(\FBN1\"", \""FBN2\"", \""SH3GL1\"")"""
"Adrenal disease, association with"	NR5A1
Adrenal failure without enzymatic defects	STAR
Adrenal hyperplasia	"c(\AR\"", \""CYP11B1\"", \""CYP21A2\"", \""HSD3B2\"", \""PDE8B\"", \""POR\"")"""
"Adrenal hyperplasia, macronodular, ACTH-independent"	EDNRA
Adrenal hypoplasia	NR0B1
Adrenal hypoplasia & hypogonadotrophic hypogonadism	NR0B1
Adrenal insufficiency	"c(\CYP11A1\"", \""NR0B1\"")"""
"Adrenal insufficiency & 46,XY complete sex reversal"	STAR
Adrenal insufficiency & early-onset obesity	POMC
Adrenal insufficiency & hypospadias	CYP11A1
Adrenocortical adenoma	"c(\PDE11A\"", \""PDE8B\"")"""
Adrenocortical carcinoma	TP53
"Adrenocortical carcinoma, childhood"	TP53
Adrenocortical hyperplasia	"c(\PDE11A\"", \""PDE8B\"")"""
Adrenocortical insufficiency without ovarian defect	NR5A1
Adrenocortical tumour	INHA
Adrenocortical tumours	PDE11A
Adrenoleukodystrophy	"c(\ABCD1\"", \""PEX5\"")"""
Adrenomyeloneuropathy	ABCD1
"Adult asthma, association with"	TNC
"Adult height, association with"	"c(\FAM154A\"", \""GAREM\"", \""KIF18A\"", \""TSSC4\"", \""ZBTB38\"")"""
"Adult myoclonic epilepsy, familial"	UBR5
ADULT syndrome	"c(\TP63\"", \""tp63dn\"")"""
ADULT syndrome with cleft palate	TP63
Adult vitelliform macular dystrophy	BEST1
"Advanced distal colorectal adenoma, increased risk, association"	AMACR
"Advanced germ cell tumors, association with"	BCL10
AEC syndrome	TP63
Afibrinogenaemia	"c(\FGA\"", \""FGB\"", \""FGG\"")"""
Afibrinogenaemia / hypofibrinogenaemia	FGB
Agammaglobulinaemia	"c(\BTK\"", \""CD79A\"", \""CD79B\"")"""
"Agammaglobulinaemia, autosomal recessive"	IGLL1
"Aganglionosis, in Hirschsprung disease"	"c(\NRTN\"", \""PSPN\"")"""
"Aganglionosis, total colonic"	RET
AGC1 deficiency	SLC25A12
"Age at menarche, association with"	KDM4C
Age-related macular degeneration	"c(\BEST1\"", \""FBLN5\"")"""
"Age-related macular degeneration, association with"	C3
"Age-related maculopathy, association with"	ELOVL4
"Age-related phenotypes, association with"	KL
"Aged appearance & cardiac arrhythmias, lethal, X-linked"	NAA10
Agenesis of corpus callosum	DISC1
Agenesis of corpus callosum & optic nerve hypoplasia	SLC25A1
"Aggressive periodontitis, reduced risk, assoc with"	FCAR
Agnathia-otocephaly	PRRX1
Agyria	"c(\DCX\"", \""TUBB2B\"")"""
Agyria-pachygyria	DCX
AICA-Ribosiduria	ATIC
Aicardi-Goutières syndrome	"c(\ADAR\"", \""IFIH1\"", \""RNASEH2A\"", \""RNASEH2B\"", \""RNASEH2C\"", \""SAMHD1\"", \""TREX1\"")"""
"AIDS & pneumocystis pneumonia, association with"	CCRL2
"AIDS progression, protection, association with"	"c(\CXCR1\"", \""PARD3B\"")"""
"Airway hyperreactivity, in asthma, association with"	PPARGC1B
"Akinesia, joint contractures, hypotonia, skeletal abnormalities & brain/retinal haemorrhages"	DNM2
Al-Awadi-Raas-Rothschild syndrome	WNT7A
Al-Gazali syndrome	B3GALT6
ALAD deficiency	ALAD
Alagille syndrome	"c(\JAG1\"", \""NOTCH2\"")"""
Aland island eye disease & stationary night blindness	CACNA1F
Albinism	GPR143
"Albinism, autosomal recessive"	C10orf11
"Albinism, ocular"	"c(\GPR143\"", \""OCA2\"")"""
"Albinism, oculocutaneous"	"c(\OCA2\"", \""SLC24A5\"", \""SLC45A2\"", \""TYR\"", \""TYRP1\"")"""
"Albinism, oculocutaneous 1"	TYR
"Albinism, oculocutaneous 1, association with"	TYR
"Albinism, oculocutaneous 1A"	TYR
"Albinism, oculocutaneous 1B"	TYR
"Albinism, oculocutaneous 3"	TYRP1
"Albinism, oculocutaneous 6"	SLC24A5
"Albinism, oculocutaneous II"	OCA2
Albright hereditary osteodystrophy	GNAS
Albright hereditary osteodystrophy with carpal tunnel syndrome	GNAS
Albumin variant	ALB
"Albuminuria, association with"	CUBN
"Alcohol and cocaine dependence, association with"	CHRNB3
Alcohol dehydrogenase beta variant	ADH1B
Alcohol dehydrogenase gamma variant	ADH1C
"Alcohol dependence, association with"	"c(\DRD2\"", \""GABRR2\"", \""SLC29A1\"")"""
"Alcohol dependence, susceptibility to"	SLC19A3
"Alcoholism, association with"	TH
"Alcoholism, increased risk, association with"	ADH1C
Aldolase A deficiency	ALDOA
Aldosterone synthase deficiency	CYP11B2
"Aldosterone synthase deficiency, type 1"	CYP11B2
"Aldosterone synthase deficiency, type 2"	CYP11B2
Aldosteronism with bilateral adrenal hyperplasia	KCNJ5
"Aldosteronism, early-onset"	KCNJ5
Alexander disease	GFAP
"Alexander disease, adult onset"	gfapie
Alkaptonuria	HGD
Alkyl-DHAP synthase deficiency	AGPS
Allan-Herndon-Dudley syndrome	SLC16A2
Allergic disease	IFNGR1
"Allergic diseases, association with"	LTC4S
"Allergic rhinitis, reduced risk, association with"	TLR10
"Allogeneic hematopoietic stem cell transplantation, outcome, association with"	EP300
"Alloimmune thrombocytopenia, fetomaternal"	ITGA2B
"Alloimmune thrombocytopenia, neonatal"	"c(\ITGA2B\"", \""ITGB3\"")"""
Almost complete loss of function	CYP2B6
"Aloin and saccharin taste sensitivity, association"	TAS2R43
"Alopecia areata, association with"	IL1RN
Alopecia universalis	HR
Alopecia universalis and limb deformities	HR
"Alopecia universalis, association with"	"c(\AIRE\"", \""NOTCH4\"")"""
"Alopecia, neurological defects and endocrinopathy syndrome"	RBM28
Alpers syndrome	POLG
Alpers-Huttenlocher syndrome	POLG
Alpers-like hepatocerebral syndrome	POLG
Alpers-like syndrome	POLG
Alpha actin 3 deficiency	ACTN3
Alpha methylacyl CoA racemase deficiency	AMACR
Alpha-AASA dehydrogenase deficiency	ALDH7A1
Alpha-dystroglycanopathy	DPM3
Alpha-fetoprotein deficiency	AFP
Alpha-L-iduronidase pseudodeficiency	IDUA
Alport syndrome	"c(\COL4A3\"", \""COL4A4\"", \""COL4A5\"")"""
Alport syndrome with macrothrombocytopaenia	MYH9
Alstrom syndrome	ALMS1
Altered (S)-methadone metabolism	CYP2B6
Altered absorption spectrum	OPN1LW
Altered acetylcarnitine metabolism	SIAE
Altered activity	"c(\CDKN1A\"", \""CYB5R3\"", \""CYP2A6\"", \""CYP3A4\"", \""GPBAR1\"", \""GRK4\"", \""KIR2DL1\"", \""MTRR\"", \""SLC34A1\"", \""TLR3\"")"""
"Altered activity, association with"	TLR3
Altered affinity for atypical antipsychotic drugs	HTR2A
Altered antagonist binding	ADRA1A
Altered APOB levels	APOB
Altered basal and/or induced transactivation	NR1I2
"Altered basal and/or induced transactivation, association"	NR1I2
"Altered beta-carotene metabolism, association with"	BCMO1
"Altered beta-endorphin binding, association with"	OPRM1
Altered binding affinity	"c(\APOB\"", \""CFB\"", \""SHBG\"")"""
Altered carbohydrate metabolism	LEPR
Altered catalytic activity	"c(\CYP1A2\"", \""CYP2C19\"", \""TBXAS1\"")"""
Altered channel function	"c(\CACNA1H\"", \""KCNA5\"", \""KCNH2\"", \""KCNJ5\"", \""KCNQ1\"", \""RYR2\"")"""
Altered cis-3-hexen-1-ol detection	OR2J3
Altered cofactor function	"c(\C4BPA\"", \""CD46\"")"""
Altered conformation	CGB
Altered CRP levels	CRP
Altered double-strand break repair	MSH5
"Altered drug efficacy, association with"	CCKBR
Altered enzyme activity	"c(\AANAT\"", \""ACE\"", \""ASMT\"", \""CBS\"", \""CYP2B6\"", \""CYP3A7\"", \""FTO\"", \""GSTZ1\"", \""MGMT\"", \""NR1I3\"", \""OGG1\"", \""PCSK1\"", \""PDE11A\"", \""POR\"", \""PTGS2\"", \""UGT1A3\"", \""UGT1A6\"", \""UGT2A1\"")"""
Altered enzyme function	CYP11B1
Altered factor VIII activity	LRP1
Altered function	"c(\BBS12\"", \""BBS2\"", \""BBS4\"", \""BRCA2\"", \""CACNA1A\"", \""CACNB2\"", \""CCR5\"", \""CES2\"", \""CHRNA2\"", \""CHRNB4\"", \""CKB\"", \""CLCN2\"", \""FCN3\"", \""GSTT1\"", \""HEY1\"", \""P2RX7\"", \""POR\"", \""RANGRF\"", \""UTF1\"")"""
Altered FV1/FV2 ratio	F5
Altered gene expression	CYP3A5
Altered glucocorticoid sensitivity	NR3C1
Altered glycogen and triglyceride levels in muscle	PRKAG3
Altered HDL cholesterol level in hypercholesterolaemia	GHR
Altered HDL cholesterol levels	ABCA1
Altered herceptin treatment response	ZFP36
Altered HLA reactivity and peptide permissiveness	KIR3DL1
Altered homocysteine levels	CTH
Altered hypomethylation of subtelomeric loci	DNMT3L
Altered interaction with Toll-like receptors	CNPY3
Altered iron status	"c(\HFE\"", \""TFR2\"")"""
Altered level of single strand breaks	"c(\LIG3\"", \""POLD1\"", \""RPA4\"", \""XRCC1\"")"""
Altered localisation	CTNND2
Altered meiotic recombination hotspot usage	PRDM9
Altered methylation	TRPC3
Altered miRNA:target gene mRNA duplex conformation	KIT
Altered mitochondrial dynamics	MFN2
Altered monocyte receptor levels	TLR4
Altered mRNA folding	"c(\AARS\"", \""RPA1\"")"""
Altered myosin contractile function	MYH11
Altered N-acetylornithine metabolism	NAT8
Altered NADPH binding affinity	CBR1
Altered one-carbon metabolism	CBS
Altered potency of atypical antipsychotic drugs	HTR2A
Altered processing by plasmin	CHGA
Altered protein folding	FTL
"Altered pulmonary function, association with"	OR4X1
Altered radiation exposure-response relationship	BRCA1
Altered receptor binding	TNFSF14
Altered receptor function	"c(\CCR5\"", \""CHRNA3\"", \""CHRNA4\"", \""CHRNA6\"", \""HTR3B\"", \""MTNR1A\"", \""MTNR1B\"", \""NPBWR1\"", \""OR10G3\"", \""OR10G4\"", \""OR10G7\"", \""OR10J5\"", \""OR1A1\"", \""OR2A25\"", \""OR2B11\"", \""OR2C1\"", \""OR2J2\"", \""OR2J3\"", \""OR2W1\"", \""OR4Q3\"", \""OR51L1\"", \""OR7C1\"", \""OR7D4\"", \""TLR9\"")"""
Altered receptor signalling	FCGR2B
Altered reductase activity	AKR1C2
Altered response to DSB-inducing agents	MSH5
Altered Rh antigen expression	RHCE
Altered ristocetin-induced platelet aggregation	VWF
Altered splicing	"c(\AMACR\"", \""ATP5SL\"", \""RPTOR\"")"""
Altered stability	SOD2
Altered steroid production	CYP11B2
Altered subcellular localization	ABCC1
Altered substrate selectivity	SLC22A1
Altered substrate specificity	"c(\CYP4F12\"", \""SLC13A2\"", \""SLC22A3\"", \""SLC28A2\"", \""SLCO1B3\"")"""
Altered substrate uptake	SLC10A1
Altered sugar binding activity	CD207
Altered tamoxifen response	NCOA1
Altered targeting efficiency	CYP2E1
Altered trafficking and/or signalling	OPRM1
Altered transcriptional activity	TP53
Altered transmembrane signaling	EGFR
Altered transport activity	"c(\ABCB1\"", \""ABCC2\"", \""SLC47A1\"", \""SLCO1A2\"", \""SLCO1B1\"")"""
Altered transporter function	SLC22A2
Altered triglyceride level	ACSM2B
Altered VWF antigen/FVIII coagulant activity	VWF
Alternate splicing	ABCB11
Alternating hemiplegia of childhood	"c(\ATP1A3\"", \""SLC2A1\"")"""
"Alternating hemiplegia of childhood & dystonia-parkinsonism, rapid-onset"	ATP1A3
Alveolar capillary dysplasia / misalignment of pulmonary veins	FOXF1
"ALys amyloidosis, systemic"	LYZ
Alzheimer disease	"c(\APOE\"", \""APP\"", \""CALHM1\"", \""CLU\"", \""CR1\"", \""GRN\"", \""MAPT\"", \""mapttv6\"", \""OGG1\"", \""PIN1\"", \""PLCD1\"", \""PSEN1\"", \""PSEN2\"", \""PSENEN\"", \""TREM2\"", \""VCP\"")"""
Alzheimer disease with epilepsy and frontotemporal atrophy	PSEN1
"Alzheimer disease, association with"	"c(\A2M\"", \""ATP7B\"", \""BLMH\"", \""CHAT\"", \""CTSD\"", \""MS4A6E\"", \""NCSTN\"", \""PSEN1\"", \""SERPINA3\"", \""SORL1\"", \""TF\"")"""
"Alzheimer disease, ataxic variant"	PSEN1
"Alzheimer disease, atypical"	PSEN2
"Alzheimer disease, autosomal dominant"	"c(\APP\"", \""PSEN1\"")"""
"Alzheimer disease, early onset"	"c(\APP\"", \""PSEN1\"", \""PSEN2\"", \""SORL1\"")"""
"Alzheimer disease, early onset & presenile dementia"	PSEN1
"Alzheimer disease, early onset & spastic paraparesis"	PSEN1
"Alzheimer disease, early onset, autosomal dominant"	PSEN2
"Alzheimer disease, early-onset"	PSEN1
"Alzheimer disease, early-onset, decreased risk, association"	APBB3
"Alzheimer disease, early-onset, with cerebellar ataxia"	PSEN1
"Alzheimer disease, increased risk"	"c(\APOE\"", \""GRN\"", \""PLD3\"", \""TREM2\"")"""
"Alzheimer disease, increased risk, association with"	"c(\CALHM1\"", \""CTNNA3\"")"""
"Alzheimer disease, late onset"	ADAM10
"Alzheimer disease, late onset, protection against"	PLAU
"Alzheimer disease, late-onset"	"c(\PSEN1\"", \""PSEN2\"")"""
"Alzheimer disease, late-onset, association with"	"c(\ABCA7\"", \""ACAN\"", \""GALP\"", \""LRP6\"", \""MYH13\"", \""PGBD1\"", \""TOMM40\"", \""TRAK2\"")"""
"Alzheimer disease, late-onset, reduced risk, association with"	TFAM
"Alzheimer disease, protection against"	APP
"Alzheimer disease, reduced risk"	TREML2
"Alzheimer disease, reduced risk, association with"	"c(\ARMS2\"", \""SERPINA3\"")"""
"Alzheimer disease, sporadic late onset, association with"	BDNF
"Alzheimer's disease, association with"	LRP1
"Alzheimers disease, association with"	NRG1
Ambiguous genitalia and psychomotor delay	ARX
"Amegakaryocytic thrombocytopaenia, congenital"	MPL
Amelogenesis imperfecta	"c(\AMELX\"", \""C4orf26\"", \""ENAM\"", \""ITGB6\"", \""KLK4\"", \""MMP20\"", \""SLC24A4\"", \""WDR72\"")"""
Amelogenesis imperfecta & gingival hyperplasia syndrome	FAM20A
"Amelogenesis imperfecta, autosomal dominant"	LAMB3
"Amelogenesis imperfecta, hypocalcified"	FAM83H
"Amelogenesis imperfecta, hypoplastic"	ENAM
"Amelogenesis imperfecta, hypoplastic local"	FAM83H
Aminoacylase I deficiency	ACY1
Amish infantile epilepsy syndrome	ST3GAL5
Amyloidangiopathy	CST3
Amyloidosis	"c(\APOA1\"", \""GSN\"", \""TTR\"")"""
"Amyloidosis, cardiac"	TTR
"Amyloidosis, cardiac and cutaneous"	APOA1
"Amyloidosis, cardiac and systemic"	APOA1
"Amyloidosis, cardiac, late-onset"	TTR
"Amyloidosis, meningocerebrovascular"	TTR
"Amyloidosis, modifier of"	TTR
"Amyloidosis, oculoleptomeningeal"	TTR
"Amyloidosis, primary cutaneous"	"c(\IL31RA\"", \""OSMR\"")"""
"Amyloidosis, renal"	"c(\APOA2\"", \""FGA\"", \""LYZ\"")"""
"Amyloidosis, renal, association with"	MEFV
"Amyloidosis, systemic"	"c(\B2M\"", \""LYZ\"")"""
"Amyloidosis, transthyretin"	TTR
Amyloidotic polyneuropathy	"c(\APOA1\"", \""TTR\"")"""
Amyloidotic vitreous opacities	TTR
Amyotrophic lateral sclerosis	"c(\ALS2\"", \""ANG\"", \""APEX1\"", \""CDH13\"", \""CHMP2B\"", \""CHRNA4\"", \""CRYM\"", \""DAO\"", \""DCTN1\"", \""EWSR1\"", \""FIG4\"", \""FUS\"", \""GRN\"", \""HNRNPA1\"", \""LUM\"", \""MATR3\"", \""NIPA1\"", \""OPTN\"", \""PFN1\"", \""PON1\"", \""PON2\"", \""PON3\"", \""PRPH\"", \""SETX\"", \""SMN1\"", \""SOD1\"", \""SPAST\"", \""SPG11\"", \""SQSTM1\"", \""SS18L1\"", \""TAF15\"", \""TARDBP\"", \""TUBA4A\"", \""UBQLN2\"", \""VAPB\"", \""VCP\"", \""VEGFA\"")"""
Amyotrophic lateral sclerosis / frontotemporal dementia	GRN
Amyotrophic lateral sclerosis & dementia	DCTN1
"Amyotrophic lateral sclerosis 4, juvenile"	SETX
Amyotrophic lateral sclerosis and parkinson disease	TRPM2
Amyotrophic lateral sclerosis type 19	ERBB4
"Amyotrophic lateral sclerosis, association with"	"c(\ANG\"", \""APEX1\"", \""CHGB\"", \""DPYSL3\"", \""PFN1\"")"""
"Amyotrophic lateral sclerosis, increased risk, association with"	ALAD
"Amyotrophic lateral sclerosis, juvenile"	SIGMAR1
"Amyotrophic lateral sclerosis, modifier of"	ANG
"Amyotrophic lateral sclerosis, PMA variant"	CHMP2B
"Amyotrophic lateral sclerosis, reduced disease severity"	EPHA4
Anaemia	"c(\HBA2\"", \""HBB\"", \""SEC23B\"", \""SLC4A1\"")"""
Anaemia & thrombocytopaenia	ALAS2
Anaemia with hypochromia & microcytosis	HBA2
"Anaemia, dyserythropoietic congenital, type II"	SEC23B
"Anaemia, dyserythropoietic congenital, type III"	KIF23
"Anaemia, hyperuricaemia and chronic kidney disease"	REN
"Anaemia, hypochromic"	STEAP3
"Anaemia, hypochromic microcytic"	"c(\HBB\"", \""SLC11A2\"")"""
"Anaemia, hypouricosuric hyperuricaemia and kidney failure"	REN
"Anaemia, transfusion-dependent, thrombocytopaenia, and low NK- and B- cell counts"	MYSM1
Analbuminaemia	ALB
Anaplastic large cell lymphoma	PRF1
"Anaplastic large cell lymphoma, childhood"	UNC13D
Anauxetic dysplasia	POP1
Andersen syndrome	KCNJ2
Andersen syndrome & catecholaminergic polymorphic ventricular tachycardia mimickry	KCNJ2
Andersen-Tawil syndrome	KCNJ2
Androgen insensitivity syndrome	AR
Androgen insensitivity syndrome & Leydig cell hyperplasia	AR
"Androgen insensitivity syndrome, partial"	"c(\AR\"", \""SRD5A2\"")"""
"Androgenetic alopecia, reduced risk, association with"	AR
Aneurysms-osteoarthritis syndrome	SMAD3
Angelman syndrome	"c(\MECP2\"", \""TCF4\"", \""UBE3A\"")"""
"Angioedema, hereditary"	"c(\F12\"", \""SERPING1\"")"""
Angioid streaks	ABCC6
Angiolipoma	TSC2
Angioneurotic oedema	SERPING1
"Angiopathy, nephropathy, aneurysms & muscle cramps"	COL4A1
Anhaptoglobinaemia	HP
Anhidrosis	ITPR2
Aniridia	"c(\FOXC1\"", \""PAX6\"", \""pax6tv2\"")"""
Aniridia with cataract	PAX6
Ankylosing spondylitis	ERAP1
"Ankylosing spondylitis, association with"	"c(\CARD9\"", \""ERAP1\"", \""SNAPC4\"")"""
"Ankylosing spondylitis, early onset, association with"	MICA
"Ankylosing spondylitis, reduced risk, association with"	ERAP1
Anomalies of testicular function/development	TSPYL1
Anonychia	RSPO4
Anophthalmia	"c(\ALDH1A3\"", \""RAX\"", \""SOX2\"")"""
Anophthalmia / microphthalmia	"c(\RAX\"", \""SOX2\"", \""VSX2\"")"""
Anophthalmia / microphthalmia with developmental delay	COL4A1
Anophthalmia & blepharophimosis	BMP4
Anophthalmia & isolated growth hormone deficiency	OTX2
Anophthalmia and diaphragmatic defects	STRA6
Anophthalmia and microphthalmia	ALDH1A3
Anophthalmia and sclerocornea	RAX
Anophthalmia syndrome	STRA6
Anophthalmia-oesophageal-genital syndrome	SOX2
"Anophthalmia, bilateral"	"c(\GDF6\"", \""OTX2\"", \""VSX2\"")"""
"Anophthalmia, hearing loss and brain abnormalities"	SOX2
Anophthalmia/microphthalmia	"c(\OTX2\"", \""SIX6\"", \""STRA6\"")"""
"Anorchia, bilateral"	NR5A1
Anorectal malformation	"c(\CDX1\"", \""DKK1\"", \""MECP2\"")"""
